"teamShortName";"teamName";"city";"position";"firstName";"lastName";"nationality";"overall";"seasonsPlayed";"khlGamesPlayed";"contractType";"2025/2026";"2026/2027";"2027/2028";"2028/2029";"2029/2030";"playerId"
"AKB";"Ак Барс";"Казань";"ЗАЩ";"Митчелл";"Миллер";"США";"79";"3";"130";"односторонний";"40";"45";"";"";"";"35000000-0000-4000-8000-000000000013"
"AKB";"Ак Барс";"Казань";"ЗАЩ";"Никита";"Лямкин";"Россия";"79";"11";"539";"односторонний";"52";"65";"65";"65";"";"35000000-0000-4000-8000-000000000011"
"AKB";"Ак Барс";"Казань";"ЦТР";"Александр";"Хмелевский";"США";"78";"4";"258";"односторонний";"57";"95";"";"";"";"35000000-0000-4000-8000-000000000020"
"AKB";"Ак Барс";"Казань";"ЦТР";"Кирилл";"Семенов";"Россия";"78";"13";"647";"односторонний";"75";"75";"";"";"";"35000000-0000-4000-8000-000000000016"
"AKB";"Ак Барс";"Казань";"ПНП";"Артём";"Галимов";"Россия";"77";"8";"378";"односторонний";"37";"";"";"";"";"35000000-0000-4000-8000-000000000004"
"AKB";"Ак Барс";"Казань";"ЗАЩ";"Альберт";"Яруллин";"Россия";"76";"15";"633";"односторонний";"24";"40";"40";"";"";"35000000-0000-4000-8000-000000000021"
"AKB";"Ак Барс";"Казань";"ЛНП";"Григорий";"Денисенко";"Россия";"76";"4";"117";"односторонний";"35";"";"";"";"";"35000000-0000-4000-8000-000000000005"
"AKB";"Ак Барс";"Казань";"ЗАЩ";"Алексей";"Марченко";"Россия";"75";"13";"508";"односторонний";"40";"45";"";"";"";"35000000-0000-4000-8000-000000000012"
"AKB";"Ак Барс";"Казань";"ЦТР";"Алексей";"Бывальцев";"Россия";"74";"12";"608";"односторонний";"53";"";"";"";"";"f2a3b4c5-d6e7-8f9a-0b1c-2d3e4f5a6b7c"
"AKB";"Ак Барс";"Казань";"ПНП";"Владимир";"Алистров";"Беларусь";"74";"6";"288";"односторонний";"22";"53";"";"";"";"35000000-0000-4000-8000-000000000001"
"AKB";"Ак Барс";"Казань";"ПНП";"Алексей";"Пустозеров";"Россия";"73";"6";"187";"односторонний";"20";"";"";"";"";"35000000-0000-4000-8000-000000000014"
"AKB";"Ак Барс";"Казань";"ВРТ";"Максим";"Арефьев";"Россия";"73";"2";"19";"односторонний";"5";"5";"5";"5";"";"goalie-player-maxim-arefyev"
"AKB";"Ак Барс";"Казань";"ЦТР";"Андрей";"Стась";"Беларусь";"72";"18";"876";"односторонний";"5";"";"";"";"";"4b000000-0000-4000-8000-000000000028"
"AKB";"Ак Барс";"Казань";"ЛНП";"Никита";"Дыняк";"Россия";"71";"7";"314";"односторонний";"27";"40";"45";"45";"";"35000000-0000-4000-8000-000000000006"
"AKB";"Ак Барс";"Казань";"ЦТР";"Дмитрий";"Кателевский";"Россия";"70";"6";"207";"двухсторонний";"18";"18";"";"";"";"35000000-0000-4000-8000-000000000008"
"AKB";"Ак Барс";"Казань";"ПНП";"Артур";"Бровкин";"Россия";"68";"7";"87";"двухсторонний";"1";"";"";"";"";"35000000-0000-4000-8000-000000000003"
"AKB";"Ак Барс";"Казань";"ЗАЩ";"Степан";"Терехов";"Россия";"68";"2";"31";"односторонний";"6";"";"";"";"";"35000000-0000-4000-8000-000000000017"
"AKB";"Ак Барс";"Казань";"ЦТР";"Денис";"Комков";"Россия";"64";"4";"40";"двухсторонний";"1";"";"";"";"";"35000000-0000-4000-8000-000000000009"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Либор";"Шулак";"Чехия";"78";"7";"329";"односторонний";"52";"55";"";"";"";"admiral-player-sulak"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Георгий";"Солянников";"Россия";"77";"6";"249";"односторонний";"35";"";"";"";"";"admiral-player-solyannikov"
"ADM";"Адмирал";"Владивосток";"ЦТР";"Кайл";"Олсон";"Канада";"76";"2";"66";"односторонний";"30";"";"";"";"";"admiral-player-kyle-olson"
"ADM";"Адмирал";"Владивосток";"ЛНП";"Энтони";"Камара";"Канада";"76";"3";"143";"односторонний";"30";"30";"";"";"";"added-player-camara"
"ADM";"Адмирал";"Владивосток";"ЛНП";"Дмитрий";"Завгородний";"Россия";"75";"7";"262";"односторонний";"20";"";"";"";"";"admiral-player-zavgorodny"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Марио";"Грман";"Словакия";"75";"4";"145";"односторонний";"30";"";"";"";"";"admiral-player-grman"
"ADM";"Адмирал";"Владивосток";"ЦТР";"Вячеслав";"Основин";"Россия";"74";"14";"658";"односторонний";"16";"";"";"";"";"admiral-player-osnovin"
"ADM";"Адмирал";"Владивосток";"ЛНП";"Егор";"Чезганов";"Беларусь";"73";"6";"54";"двухсторонний";"2";"2";"5";"";"";"admiral-player-chezganov"
"ADM";"Адмирал";"Владивосток";"ПНП";"Иван";"Муранов";"Россия";"73";"9";"372";"односторонний";"20";"20";"";"";"";"admiral-player-muranov"
"ADM";"Адмирал";"Владивосток";"ПНП";"Александр";"Волков";"Россия";"72";"4";"111";"двухсторонний";"1";"";"";"";"";"lok-player-alexander-volkov"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Александр";"Шепелев";"Россия";"72";"5";"146";"односторонний";"8";"";"";"";"";"admiral-player-shepelev"
"ADM";"Адмирал";"Владивосток";"ЦТР";"Даниэль";"Усманов";"Россия";"72";"5";"107";"двухсторонний";"1";"1";"";"";"";"admiral-player-usmanov"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Дмитрий";"Дерябин";"Беларусь";"72";"8";"244";"односторонний";"10";"";"";"";"";"admiral-player-deryabin"
"ADM";"Адмирал";"Владивосток";"ЛНП";"Александр";"Дарьин";"Россия";"71";"7";"165";"односторонний";"13";"13";"";"";"";"admiral-player-alexander-daryin"
"ADM";"Адмирал";"Владивосток";"ВРТ";"Иван";"Кульбаков";"Беларусь";"71";"9";"163";"односторонний";"55";"55";"55";"55";"";"goalie-player-ivan-kulbakov"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Никита";"Ефремов";"Россия";"71";"8";"234";"односторонний";"2";"2";"2";"";"";"admiral-player-nikita-yefremov"
"ADM";"Адмирал";"Владивосток";"ЛНП";"Оскар";"Булавчук";"Россия";"71";"2";"31";"двухсторонний";"1";"1";"";"";"";"admiral-player-bulavchuk"
"ADM";"Адмирал";"Владивосток";"ЦТР";"Артём";"Пименов";"Россия";"69";"7";"235";"односторонний";"20";"";"";"";"";"31000000-0000-4000-8000-000000000015"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Константин";"Лучевников";"Россия";"69";"6";"174";"односторонний";"12";"";"";"";"";"35000000-0000-4000-8000-000000000010"
"ADM";"Адмирал";"Владивосток";"ЦТР";"Михаил";"Грасс";"Россия";"69";"3";"32";"двухсторонний";"2";"3";"";"";"";"added-player-grass"
"ADM";"Адмирал";"Владивосток";"ЛНП";"Иван";"Фомин";"Россия";"68";"1";"2";"трехсторонний";"0,5";"0,5";"";"";"";"admiral-player-ivan-fomin"
"ADM";"Адмирал";"Владивосток";"ЦТР";"Максим";"Мухаметов";"Казахстан";"68";"3";"66";"односторонний";"14";"";"";"";"";"barys-player-mukhametov"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Руслан";"Педан";"Россия";"68";"10";"311";"односторонний";"10";"";"";"";"";"admiral-player-ruslan-pedan"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Семен";"Ибрагимов";"Россия";"67";"5";"94";"двухсторонний";"1";"1";"";"";"";"admiral-player-semyon-ibragimov"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Федор";"Крощинский";"Россия";"67";"4";"191";"двухсторонний";"1";"";"";"";"";"neftekhimik-player-kroshchinsky"
"ADM";"Адмирал";"Владивосток";"ВРТ";"Арсений";"Цыба";"Россия";"66";"1";"12";"двухсторонний";"1";"1";"1";"";"";"goalie-player-arseny-tsyba"
"ADM";"Адмирал";"Владивосток";"ВРТ";"Джелал-Ад-Дин";"Амирбеков";"Казахстан";"66";"0";"0";"двухсторонний";"0,5";"0,5";"0,5";"";"";"goalie-player-jelal-ad-din-amirbekov"
"ADM";"Адмирал";"Владивосток";"ЗАЩ";"Артем";"Кудашов";"Россия";"65";"4";"132";"двухсторонний";"1";"1";"";"";"";"admiral-player-artyom-kudashov"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Вячеслав";"Войнов";"Россия";"78";"9";"402";"односторонний";"20";"40";"";"";"";"f3a4b5c6-d7e8-4f9a-0b1c-2d3e4f5a6b7c"
"AMR";"Амур";"Хабаровск";"ВРТ";"Максим";"Дорожко";"Россия";"78";"5";"184";"односторонний";"35";"40";"";"";"";"goalie-player-maxim-dorozhko"
"AMR";"Амур";"Хабаровск";"ЦТР";"Александр";"Дергачев";"Россия";"76";"11";"420";"односторонний";"35";"35";"";"";"";"neftekhimik-player-dergachev"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Василий";"Мачулин";"Россия";"76";"5";"178";"односторонний";"10";"";"";"";"";"sochi-player-machulin"
"AMR";"Амур";"Хабаровск";"ПНП";"Олег";"Ли";"Россия";"76";"14";"581";"односторонний";"20";"";"";"";"";"amur-player-oleg-li"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Алексей";"Василевский";"Россия";"75";"14";"604";"односторонний";"40";"42";"42";"";"";"31000000-0000-4000-8000-000000000004"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Виктор";"Антипин";"Россия";"75";"14";"643";"односторонний";"5";"5";"";"";"";"amur-player-antipin"
"AMR";"Амур";"Хабаровск";"ПНП";"Виталий";"Абрамов";"Россия";"75";"5";"255";"односторонний";"40";"45";"";"";"";"37000000-0000-4000-8000-000000000001"
"AMR";"Амур";"Хабаровск";"ЛНП";"Иван";"Чехович";"Россия";"75";"7";"285";"односторонний";"19";"40";"";"";"";"amur-player-chekhovich"
"AMR";"Амур";"Хабаровск";"ПНП";"Кирилл";"Петьков";"Россия";"75";"7";"282";"односторонний";"8";"8";"";"";"";"amur-player-petkov"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Никита";"Евсеев";"Россия";"75";"5";"166";"двухсторонний";"5";"";"";"";"";"amur-player-nikita-yevseyev"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Ярослав";"Дыбленко";"Россия";"75";"13";"549";"односторонний";"45";"";"";"";"";"amur-player-dyblenko"
"AMR";"Амур";"Хабаровск";"ЛНП";"Ярослав";"Лихачев";"Россия";"75";"5";"224";"односторонний";"16";"40";"40";"40";"";"amur-player-likhachyov"
"AMR";"Амур";"Хабаровск";"ЛНП";"Григорий";"Кузьмин";"Россия";"73";"4";"61";"двухсторонний";"2";"2";"";"";"";"amur-player-grigori-kuzmin"
"AMR";"Амур";"Хабаровск";"ЗАЩ";"Данила";"Галенюк";"Россия";"73";"9";"303";"односторонний";"30";"";"";"";"";"ska-player-galenyuk"
"AMR";"Амур";"Хабаровск";"ЦТР";"Артем";"Шварев";"Россия";"72";"6";"120";"двухсторонний";"3";"3";"";"";"";"amur-player-artyom-shvaryov"
